measure,location,sex,age,cause,rei,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2011,492.70484388967003,621.9250000537099,319.5993829876
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2012,0.2932770135279915,0.357427916760086,0.1999656541734923
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2012,508.40793576637,637.65833753654,346.37628939677
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2013,0.3085781995525642,0.3713694897732899,0.2142315715985271
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2013,525.92883375081,657.49687738887,350.79335674432
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2014,0.319995201948148,0.3829046626467302,0.2236495875093151
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2014,538.69208461723,660.48571416613,364.71459475904
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2015,0.3247169062049029,0.3871924328826042,0.2266255401845762
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2015,542.37474961439,666.33254302662,372.60394949601
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2016,0.3196710474946236,0.3787244103897997,0.2249065521679341
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2016,537.66336281335,667.07403888444,366.73332788024
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2017,0.3063601985074301,0.360848530026822,0.2203756988132604
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2017,516.36677244312,641.3167270968801,359.43672587545
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2018,0.2900977008240615,0.3423107891268631,0.2125045615319433
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2018,493.73593242681994,622.69893186034,348.87571945511
