measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Suriname,Both,Age-standardized,COVID-19,Rate,2020,21.147146027743396,22.09403806291123,21.002588582731278
Deaths,Democratic People's Republic of Korea,Both,Age-standardized,COVID-19,Rate,2020,2.0665458988782506,9.767841207375549,0.38023602812633556
Deaths,Turkmenistan,Both,Age-standardized,COVID-19,Rate,2020,143.35091243127906,172.30639640556987,108.44957373966346
Deaths,Seychelles,Both,Age-standardized,COVID-19,Rate,2020,5.400412177388446e-09,5.400412177388399e-09,5.400412177388399e-09
Deaths,Taiwan (Province of China),Both,Age-standardized,COVID-19,Rate,2020,0.01823326896692741,0.02650725272446758,0.010785654589184502
Deaths,Niue,Both,Age-standardized,COVID-19,Rate,2020,3.293915742188915e-07,3.2939157421889354e-07,3.2939157421889354e-07
Deaths,Bahamas,Both,Age-standardized,COVID-19,Rate,2020,114.54588577045693,167.61148238355486,52.66054984009955
Deaths,Côte d'Ivoire,Both,Age-standardized,COVID-19,Rate,2020,160.19568182671273,173.7729512635535,144.7305722797231
Deaths,Equatorial Guinea,Both,Age-standardized,COVID-19,Rate,2020,254.55935937000953,333.0591383952252,194.3640272806398
Deaths,Algeria,Both,Age-standardized,COVID-19,Rate,2020,142.3791837979049,145.2587441754091,139.24083013088696
Deaths,Gambia,Both,Age-standardized,COVID-19,Rate,2020,228.30088152075638,269.8762254165257,198.64216985043888
Deaths,Kiribati,Both,Age-standardized,COVID-19,Rate,2020,1.0329498250015629e-08,1.032949825001573e-08,1.032949825001573e-08
Deaths,Malta,Both,Age-standardized,COVID-19,Rate,2020,22.31724452520805,27.663934348889306,18.366130209372365
Deaths,Somalia,Both,Age-standardized,COVID-19,Rate,2020,394.4299380517646,472.86954798138777,311.95169831758017
Deaths,Bolivia (Plurinational State of),Both,Age-standardized,COVID-19,Rate,2020,400.9468840743142,457.02551286160826,333.39923807011445
Deaths,Mauritius,Both,Age-standardized,COVID-19,Rate,2020,0.5790815385020663,0.8571284998398487,0.34632849410788163
Deaths,Cameroon,Both,Age-standardized,COVID-19,Rate,2020,120.7732808088397,130.0728602271869,112.26822499650498
Deaths,Slovenia,Both,Age-standardized,COVID-19,Rate,2020,57.58976799623013,75.88248398723783,39.75540156407947
