Country,PM2.5,All-cause DALYs,SDI,SDI_category
Nicaragua,19.433,479.67133980933994,0.4942037485167538,Medium
Niger,50.415,1284.641532589239,0.14384551506685941,Low
Nigeria,55.2,2436.610587439915,0.45240509414783164,Low
Niue,6.553,604.0081140368491,0.7025631347703449,High
North Macedonia,30.842000000000002,2816.121543585502,0.7260761021737971,High
Norway,6.94,133.050805804412,0.8969461109106247,Very High
Oman,35.818,3060.712816149751,0.7397467369726194,High
Pakistan,55.15,2554.281980264674,0.4624505442321962,Medium
Palau,7.685,921.225930584156,0.7369363732260721,High
Palestine,29.945,2384.215019886021,0.5731634239813126,Medium
Panama,13.959999999999999,651.191132258187,0.6563859140398506,High
Papua New Guinea,8.645,841.2655054744661,0.39629091481207607,Low
Paraguay,14.299000000000001,594.216399772377,0.597283776875164,Medium
Peru,29.540999999999997,1107.465037603435,0.6325716252060051,High
Philippines,22.659,1451.82438344208,0.6033763140687334,Medium
Poland,23.185,1235.7764060361428,0.7847286547109382,Very High
Portugal,8.937999999999999,286.04123312475497,0.7234264837474156,High
Qatar,62.363,2842.7944372143693,0.8086488661972673,Very High
Republic of Korea,27.127,739.494853896127,0.8618069311496754,Very High
Republic of Moldova,14.185999999999998,1144.899142894352,0.6971559700117151,High
Romania,16.009999999999998,1348.872804400861,0.7422544952996911,High
Russian Federation,9.857000000000001,1220.5561067184422,0.7834698344898536,Very High
Rwanda,34.93,424.542168877714,0.3864653925594479,Low
Saint Kitts and Nevis,8.22,491.15048844657304,0.7312603778944997,High
Saint Lucia,9.093,1348.148502281641,0.6502765266867756,High
Saint Vincent and the Grenadines,9.534,1655.8859173893131,0.604380888134627,Medium
Samoa,7.623,858.456290779713,0.5719680889230881,Medium
San Marino,11.426,220.10183266213198,0.8838571995781722,Very High
Sao Tome and Principe,33.166999999999994,914.181452427904,0.4488163324613444,Low
Saudi Arabia,57.003,3662.6961303682356,0.776468085000853,Very High
Senegal,38.364,903.92234549522,0.3609859140522994,Low
Serbia,26.255000000000003,2013.1317602354218,0.7663703111942682,Very High
Seychelles,17.148,623.285776572743,0.6998530076122039,High
Sierra Leone,39.524,1026.127112785272,0.3113783149661043,Low
Singapore,15.416,560.972127749659,0.8430068729703608,Very High
Slovakia,19.410999999999998,1280.310812958932,0.7985054005565306,Very High
Slovenia,17.808,553.659173742677,0.8290146518641999,Very High
Solomon Islands,7.6579999999999995,530.145908202651,0.40368714205261547,Low
Somalia,14.38,517.317347007765,0.06938850063604177,Low
South Africa,19.07,2258.84494350097,0.6555430227169305,High
South Sudan,21.593,1333.047714262499,0.2747854345157816,Low
