Country,metric,year,COVID Deaths Val,upper,lower
Republic of Korea,Rate,2021,19.582923327866578,21.79151344191648,18.064957705592636
Republic of Korea,Percent,2021,0.0308763688713603,0.034252227102336,0.028197393647189
Republic of Korea,Rate,2021,2.531555118553591,2.817028220963558,2.3352969316609946
Ethiopia,Percent,2020,0.0918475052102689,0.1025024118421272,0.0816480586365312
Ethiopia,Rate,2020,55.31886141130333,59.79286868211445,51.352427819752
Ethiopia,Percent,2020,0.0987667286019543,0.1138350819015253,0.0861584738236208
Ethiopia,Rate,2020,24.108445879925178,26.069179771832285,22.386504697237346
Nigeria,Percent,2020,0.0493641058280502,0.0559062024319146,0.0421641479808037
Nigeria,Rate,2020,38.63730895990837,42.25435843765667,35.625862475744206
Nigeria,Percent,2020,0.0681006194203682,0.0810128494631519,0.0553029005119082
