Country,COVID_Deaths_Rate,upper,lower
Canada,39.43262217464939,41.65560718121392,37.11095529410871
Kazakhstan,153.20938496588974,195.767361748785,110.0269735655045
Slovakia,42.25701912256075,67.1561670444248,20.51243667559803
Panama,110.52367299807582,138.89435914125914,83.5206367911916
Fiji,12.19020838139958,25.435977652057115,3.0252042660849687
Oman,169.27016886479757,183.92506766873512,152.8914107091126
Cook Islands,3.0910672404346986e-08,3.091067240434676e-08,3.091067240434676e-08
Burkina Faso,152.10355981394034,165.04400104952302,136.39802568596363
Pakistan,198.89527279897752,211.845206276696,184.7146249121661
Singapore,0.3654898934894531,0.3868553924474571,0.3445674297231031
Luxembourg,45.02228048705468,54.99211159602832,35.64421774640735
Norway,4.142019081398421,4.448139526703745,3.864250329610866
South Sudan,244.61559618723717,273.4057213782745,209.14762230755332
Zimbabwe,234.35682145284687,262.1193445928928,201.0266811516891
Syrian Arab Republic,52.37689001681476,64.07964188671575,39.13401224765153
Qatar,76.89660812792661,90.89225712943548,56.85412747444032
Australia,1.942649698612613,2.028273414663534,1.8446253652080544
Kyrgyzstan,137.49007275957243,170.13461121249478,98.17499098530006
Nepal,118.25969264438557,128.61115770457042,81.0115105608781
Brazil,83.38516236883054,90.77122973015848,77.14438599066519
United States of America,76.82071036902822,79.72822113001088,74.0747554990685
Suriname,21.1471460277434,22.09403806291123,21.00258858273128
Democratic People's Republic of Korea,2.0665458988782506,9.767841207375549,0.3802360281263355
Turkmenistan,143.35091243127906,172.30639640556987,108.44957373966346
Seychelles,5.400412177388446e-09,5.4004121773883995e-09,5.4004121773883995e-09
Taiwan (Province of China),0.0182332689669274,0.0265072527244675,0.0107856545891845
Niue,3.293915742188915e-07,3.293915742188936e-07,3.293915742188936e-07
Bahamas,114.54588577045692,167.61148238355486,52.66054984009955
Côte d'Ivoire,160.19568182671273,173.7729512635535,144.7305722797231
Equatorial Guinea,254.55935937000956,333.0591383952252,194.3640272806398
Algeria,142.3791837979049,145.2587441754091,139.24083013088696
Gambia,228.3008815207564,269.8762254165257,198.64216985043888
Kiribati,1.0329498250015629e-08,1.0329498250015732e-08,1.0329498250015732e-08
Malta,22.31724452520805,27.663934348889303,18.366130209372365
Somalia,394.4299380517646,472.86954798138777,311.95169831758017
Bolivia (Plurinational State of),400.9468840743142,457.02551286160826,333.39923807011445
Mauritius,0.5790815385020663,0.8571284998398487,0.3463284941078816
Cameroon,120.7732808088397,130.0728602271869,112.26822499650498
Slovenia,57.58976799623013,75.88248398723783,39.75540156407947
Tunisia,51.62600186351795,90.64746609725664,38.70813471998518
Albania,85.0526084083505,136.04399786327176,35.197797792404344
Netherlands,35.26421861723702,38.91624066120941,31.363516041651756
Cambodia,4.933456898950212e-11,4.9334568989502387e-11,4.9334568989502387e-11
Andorra,53.47687359490787,97.46095632052636,31.187848453470124
Paraguay,42.96446401005885,64.73693849063662,24.86688730427256
Central African Republic,397.1606103564672,531.7366369086498,262.8627771016302
Northern Mariana Islands,5.80602553783888,8.284948445608785,4.250165381168469
Uzbekistan,75.53150391762786,106.85551684232338,36.6898703032545
Bahrain,103.98864085649038,119.25540861531562,85.9849105710899
Angola,128.6477938729719,149.67808626416218,104.74485281357178
Barbados,1.5907149384792445,1.5907149384792332,1.5907149384792332
Mozambique,75.17580794655667,107.99634431582808,45.48124622075002
Sierra Leone,150.9019699828823,177.47071959389095,131.3614461156724
Monaco,8.977867344983583,28.93360364451532,2.7898404359989937
Ghana,101.6525000592588,112.2839904614499,91.92362660378171
Austria,37.88554250890373,40.05949621260709,35.83906560161023
Turkey,106.71409660011274,128.82831335157505,80.84082210092541
Gabon,186.78520370524743,203.2513910478372,171.56014298621915
Ecuador,235.6033206554387,279.1405850355484,192.2075803117793
Belize,99.80803017832874,118.4817506688676,82.2308484303655
Cabo Verde,34.61788798557278,48.33823251061406,26.066830731479666
Peru,283.3687455051966,355.6208870820239,221.93412677656144
United Republic of Tanzania,139.4655932327368,151.16211472868872,128.79782588097126
Egypt,144.03408361560952,190.3942910292303,99.394387168696
Indonesia,46.125404674936696,94.75237270369112,14.877035007295436
Bosnia and Herzegovina,74.05706035452855,101.8083515722998,48.10851616876873
Vanuatu,3.989642706962643e-09,3.989642706962609e-09,3.989642706962609e-09
Philippines,15.494063675784806,21.90564601163045,9.7952503359608
Cyprus,8.809893766515808,23.081988366674544,4.796992823462956
Cuba,4.4004117633543,19.69596079373256,0.5696381436171265
Hungary,51.85282043552306,70.9440112395382,36.58950614448784
Ukraine,34.61704015307594,71.4970446571977,10.997441124525622
Azerbaijan,186.6887188453153,231.80271382782723,140.6843289453064
United Kingdom,63.93820718288038,66.5647393507492,61.40561947010951
Dominica,8.984878187665984e-09,8.984878187665925e-09,8.984878187665925e-09
Iran (Islamic Republic of),86.79961411129729,101.1140483511538,73.1407378488807
North Macedonia,158.05137181334422,201.1884387534656,111.74819160706308
Viet Nam,0.7429362672118092,1.4221763178912552,0.1764704565337487
China,1.4857566400828246,7.460812759956129,0.3158059575064428
Georgia,83.56745047335886,106.6075039615654,58.857581103302266
Burundi,88.03575718839289,96.96218434571428,81.18842961561806
Germany,16.090848350329235,17.926572890326568,14.896399601710108
Guatemala,118.40224354689076,156.23909861366684,83.57029371731909
Japan,0.7836718283412081,0.8821412458691122,0.6984565116015038
Bangladesh,100.59653022828272,135.57085929016725,86.25903824141454
Guinea-Bissau,387.4817108798183,440.25379944330047,340.9037780124892
Haiti,172.25293504891496,292.41388896001587,73.29954709609407
Serbia,70.26266618842726,119.53032510111969,22.196949529681888
Tajikistan,182.6253493687324,219.46314126385457,138.14818655181534
Libya,104.68222782910948,120.90268601241854,83.39332659671152
Micronesia (Federated States of),8.692908046322008e-09,8.69290804632208e-09,8.69290804632208e-09
Namibia,139.187681950344,158.8649659709839,124.72249163861368
Italy,49.66585556185517,51.46364816785148,47.70941062086766
New Zealand,0.3140462531233894,0.3391231727702355,0.2912118099328547
Kenya,228.4292005684743,248.2956605749804,210.7014898141063
Venezuela (Bolivarian Republic of),168.58446648079698,182.9149016882752,153.2639732787991
Estonia,11.31825852035735,27.44362175494039,5.880265617268035
Trinidad and Tobago,37.15577602212383,64.27649192008892,15.81519615839253
Nigeria,107.9273188686608,118.17466338636297,99.4742956439122
Antigua and Barbuda,5.295727674824077,6.405254721809403,4.405789991874689
Saudi Arabia,76.00557978559323,90.0854319678422,59.7683050062278
Congo,185.8126360261653,209.4139406598578,147.89753221224746
Benin,69.87884695177505,84.79256346108792,52.12911274647298
Democratic Republic of the Congo,162.28997047989176,178.10036892481554,147.85983816695312
Portugal,33.86125565209586,37.302315749286194,30.04388705935239
Rwanda,35.9969560058357,42.60195148226521,23.647787226539563
Togo,88.34766893826074,102.37955238164976,75.82103209952835
Greenland,1.1555678519158128e-08,1.1555678519158043e-08,1.1555678519158043e-08
United Arab Emirates,17.816713032045413,37.491699649381175,7.322923635350642
Yemen,125.20878991474756,146.35248990107883,100.01416177910176
Guam,58.64460973580187,66.6897217972456,51.99352164480427
Chad,222.68623452559905,263.88903647574097,185.9432283385852
Uganda,98.79819736704,114.59272652284572,64.04049133725178
Nauru,1.2365154992863605e-07,1.2365154992863558e-07,1.2365154992863558e-07
Saint Kitts and Nevis,0.0020187696295353,0.0032671554273528,0.0010199255668016
United States Virgin Islands,26.22656184340472,42.65748519673999,12.437828898711134
