Country,COVID_Deaths_Rate,upper,lower,Mean_PM25_2010_2019,Year,SDI_mean_value
Bolivia (Plurinational State of),280.4516008260309,319.66910314115296,233.2167721237909,26.105,2020,0.594854443460131
France,84.348898816719,89.23542361223042,79.48954960103615,12.372,2020,0.836049443246129
Panama,114.50235918226748,143.8163731516915,86.5450348059237,13.959999999999999,2020,0.703788489528527
Kyrgyzstan,85.48277847051423,105.77942939833446,61.02469811250725,44.673,2020,0.600499553804348
Albania,131.02158671700144,210.0336339145132,54.205310457176985,19.773,2020,0.703790245372837
Paraguay,33.5903578511501,50.8443409894784,19.341077334220262,14.299000000000001,2020,0.631057688560962
Marshall Islands,8.911156061907565e-09,8.911156061907595e-09,8.911156061907595e-09,7.151000000000001,2020,0.568837509186186
Uzbekistan,49.51084095489427,70.0399526685029,24.046160394948163,48.643,2020,0.659124204371032
Israel,35.22421853299686,37.042308278227694,33.539229348783806,21.337,2020,0.806351589333701
Egypt,68.19287875990663,90.14021015607231,47.07465288102832,61.553999999999995,2020,0.597363341129599
Norway,8.098329853871864,8.696065667218942,7.563147287464102,6.94,2020,0.914529920283541
Papua New Guinea,8.640723825396634,19.20671796811285,1.537192365722736,8.645,2020,0.415186878578667
Kazakhstan,125.68270774370932,162.4538245241666,89.26221231208167,30.885,2020,0.722788768207953
Turkmenistan,100.15628842767993,120.36536445817906,75.77273989025426,31.612000000000002,2020,0.678298179976148
China,1.8988807796412688,9.668453975892492,0.4137580881263417,49.782,2020,0.713364584593745
Latvia,51.79073625924042,106.76714384046458,26.80769111065793,13.821000000000002,2020,0.827900448409988
Republic of Korea,2.4454652263131464,3.86506591874109,1.5961472550392886,27.127,2020,0.883717569055359
Singapore,0.5089523544603483,0.5387424752001708,0.4797914777018786,15.416,2020,0.854296009592945
Nauru,4.563056719802268e-08,4.563056719802264e-08,4.563056719802264e-08,7.4079999999999995,2020,0.619330076183652
Liberia,50.77389826687301,61.54017292139197,44.61131182365057,35.047,2020,0.348133889761756
Bhutan,6.593803441682494e-10,6.593803441682505e-10,6.593803441682505e-10,28.704,2020,0.468714478980695
San Marino,180.50842569652272,253.90077722550248,126.84581417723116,11.426,2020,0.886867937194416
Democratic People's Republic of Korea,2.132068730637712,10.083375028381829,0.3920206947643054,53.340999999999994,2020,0.56818855103523
Bulgaria,240.3264016469651,328.7818150688197,136.7118750809755,21.074,2020,0.765089710642011
Denmark,22.619204130673747,23.874248390276147,21.254518290697003,10.821000000000002,2020,0.894368296843327
Spain,132.94863888832154,139.13107482556748,126.39529862034424,10.995000000000001,2020,0.766506025058573
Dominican Republic,37.51621689762217,73.92684086794264,15.8266201137419,7.6739999999999995,2020,0.615635625027175
Colombia,101.2723461955583,124.48023970865168,77.71727502562509,16.663,2020,0.650855354021142
Iraq,121.08444386168787,142.84052559828635,101.52374006576112,38.738,2020,0.653300379638783
Argentina,95.79380619641512,99.26679029321616,92.48327380078064,13.288,2020,0.721294302628992
Canada,80.08132654925663,84.45913508473951,75.43375053703917,7.188,2020,0.871992631299453
Bahamas,108.03686699441126,158.08776758621852,49.66863291960464,5.306,2020,0.802948018163753
